# adc, support, winrate, synergy, pick, ban, matches
jinx,janna,55.75%,+2.84%,0.51%,5.13%,24555
jinx,brand,55.66%,+2.95%,0.61%,17.08%,29242
ashe,brand,55.49%,+3.51%,0.47%,14.24%,22775
jinx,nami,55.42%,+2.61%,0.76%,5.68%,36493
jinx,zyra,55.30%,+2.61%,0.39%,7.79%,18939
jinx,lux,55.29%,+2.58%,1.89%,24.71%,90585
ashe,lux,54.65%,+2.67%,1.56%,21.91%,74902
jinx,sona,54.44%,+2.16%,0.63%,5.81%,30183
sivir,janna,54.40%,+1.99%,0.42%,13.74%,19966
draven,janna,54.34%,+2.95%,0.32%,25.04%,15121
ashe,zyra,54.31%,+2.35%,0.33%,4.55%,16069
sivir,lux,54.19%,+1.96%,1.53%,31.23%,73274
ashe,janna,54.17%,+1.99%,0.35%,1.80%,16588
jinx,blitzcrank,54.09%,+2.37%,0.91%,20.25%,43649
jinx,nautilus,54.07%,+2.17%,0.98%,22.82%,47105
tristana,nami,53.92%,+2.75%,0.47%,3.37%,22370
sivir,nami,53.88%,+1.56%,0.57%,14.27%,27437
vayne,nami,53.87%,+2.64%,0.74%,19.95%,35531
draven,nami,53.78%,+2.47%,0.45%,25.50%,21826
jinx,leona,53.77%,+2.22%,0.81%,11.41%,38852
sivir,nautilus,53.77%,+2.35%,0.74%,29.51%,35404
sivir,sona,53.76%,+1.98%,0.48%,14.38%,23136
ashe,nami,53.57%,+1.49%,0.48%,2.37%,22811
sivir,blitzcrank,53.56%,+2.32%,0.53%,28.63%,25360
miss fortune,nautilus,53.50%,+2.59%,0.58%,21.72%,27781
miss fortune,brand,53.45%,+1.75%,0.46%,15.89%,21968
jhin,zyra,53.35%,+2.08%,0.38%,7.26%,18306
sivir,brand,53.26%,+1.04%,0.43%,25.60%,20555
caitlyn,lux,53.19%,+2.07%,2.57%,30.14%,123488
ashe,sona,53.19%,+1.63%,0.50%,2.51%,23843
jinx,morgana,53.17%,+1.62%,1.35%,43.07%,64991
jinx,soraka,53.16%,+1.31%,0.56%,6.01%,26892
jinx,lulu,53.14%,+1.79%,0.76%,7.44%,36681
ashe,soraka,53.13%,+2.00%,0.41%,2.70%,19460
jhin,brand,53.11%,+1.83%,0.56%,16.59%,26648
jhin,lux,53.04%,+1.74%,1.60%,24.30%,76922
miss fortune,sona,53.03%,+1.75%,0.49%,4.50%,23592
jinx,rakan,53.02%,+1.22%,0.32%,5.27%,15313
sivir,zyra,53.02%,+0.82%,0.30%,16.30%,14457
vayne,janna,52.94%,+1.62%,0.48%,19.48%,22958
jhin,janna,52.92%,+1.44%,0.40%,4.59%,19106
miss fortune,blitzcrank,52.88%,+2.15%,0.57%,18.99%,27500
miss fortune,leona,52.71%,+2.14%,0.70%,10.16%,33696
twitch,lux,52.68%,+0.79%,0.36%,22.08%,17081
jinx,thresh,52.68%,+1.63%,1.67%,12.26%,80053
sivir,leona,52.61%,+1.54%,0.50%,19.90%,24186
draven,lux,52.56%,+1.36%,0.78%,41.89%,37584
caitlyn,brand,52.56%,+1.45%,0.67%,22.55%,31915
xayah,lux,52.43%,+0.95%,0.64%,21.99%,30688
tristana,brand,52.38%,+1.31%,0.37%,15.07%,17897
xayah,rakan,52.27%,+1.68%,1.67%,1.95%,80172
sivir,yuumi,52.23%,+2.38%,1.24%,37.61%,59321
jhin,sona,52.18%,+1.31%,0.49%,5.28%,23545
jinx,karma,52.16%,+1.04%,0.75%,12.18%,36168
xayah,nautilus,52.13%,+1.44%,0.34%,19.85%,16524
caitlyn,zyra,52.12%,+1.03%,0.48%,13.89%,22840
ashe,morgana,52.05%,+1.21%,0.96%,40.86%,46236
miss fortune,nami,52.04%,+0.23%,0.36%,4.38%,17238
jhin,nami,51.98%,+0.60%,0.63%,5.14%,30055
caitlyn,janna,51.92%,+0.61%,0.57%,11.41%,27589
vayne,soraka,51.87%,+1.57%,0.52%,20.23%,24986
tristana,sona,51.85%,+1.19%,0.35%,3.51%,16830
miss fortune,lux,51.80%,+0.09%,1.31%,23.61%,63091
caitlyn,nami,51.79%,+0.58%,0.89%,11.92%,42694
vayne,lux,51.78%,+0.65%,1.41%,36.73%,67796
vayne,brand,51.71%,+0.59%,0.45%,29.84%,21638
miss fortune,morgana,51.69%,+1.12%,0.95%,42.21%,45498
sivir,morgana,51.67%,+0.60%,0.96%,48.95%,45909
tristana,lux,51.65%,+0.57%,1.06%,22.84%,50813
sivir,thresh,51.65%,+1.07%,1.13%,20.16%,54411
caitlyn,morgana,51.63%,+1.64%,2.04%,46.97%,97876
ashe,karma,51.59%,+1.18%,0.63%,8.89%,30102
ashe,blitzcrank,51.54%,+0.54%,0.57%,17.60%,27136
sivir,soraka,51.53%,+0.16%,0.43%,14.56%,20589
sivir,pyke,51.50%,+1.08%,0.71%,34.52%,33830
tristana,soraka,51.46%,+1.21%,0.32%,3.70%,15141
kai'sa,nami,51.36%,+0.90%,0.79%,8.51%,37784
vayne,sona,51.26%,+0.55%,0.47%,20.10%,22740
ashe,nautilus,51.19%,+0.01%,0.67%,19.82%,32314
miss fortune,pyke,51.14%,+1.21%,0.62%,26.61%,29644
draven,thresh,51.13%,+1.54%,0.86%,31.01%,41191
jinx,braum,51.12%,+1.18%,0.38%,6.49%,18087
kai'sa,janna,51.11%,+0.55%,0.52%,7.97%,24715
jinx,pyke,51.09%,+0.19%,0.90%,27.71%,43397
jhin,soraka,51.09%,+0.63%,0.42%,5.47%,19993
xayah,thresh,51.05%,+1.19%,0.55%,9.07%,26421
ashe,pyke,50.96%,+0.77%,0.68%,25.00%,32711
sivir,lulu,50.96%,+0.08%,0.44%,15.92%,20982
vayne,lulu,50.95%,+1.13%,0.83%,21.43%,39823
ashe,leona,50.92%,+0.09%,0.56%,8.34%,26962
kai'sa,lux,50.92%,+0.55%,1.93%,27.12%,92380
ashe,lulu,50.90%,+0.26%,0.39%,4.15%,18623
jhin,morgana,50.90%,+0.73%,1.15%,42.72%,55137
ezreal,zilean,50.81%,+1.15%,0.35%,11.71%,16822
sivir,karma,50.78%,+0.14%,0.74%,19.42%,35734
tristana,lulu,50.70%,+0.94%,0.43%,5.13%,20669
ezreal,zyra,50.60%,+0.68%,0.49%,13.68%,23743
lucian,nami,50.55%,+0.80%,0.44%,3.68%,21168
draven,blitzcrank,50.52%,+0.28%,0.41%,37.28%,19456
kai'sa,brand,50.44%,+0.08%,0.52%,19.80%,24927
caitlyn,blitzcrank,50.41%,+0.26%,0.83%,25.73%,39709
kai'sa,zyra,50.36%,+0.01%,0.36%,10.60%,17315
miss fortune,thresh,50.35%,+0.27%,0.80%,11.02%,38196
tristana,nautilus,50.32%,+0.03%,0.62%,20.76%,29892
ezreal,janna,50.31%,+0.18%,0.59%,11.08%,28480
tristana,blitzcrank,50.27%,+0.15%,0.52%,18.42%,25133
caitlyn,sona,50.26%,-0.44%,0.66%,12.06%,31542
draven,karma,50.22%,+0.57%,0.35%,31.32%,16838
jhin,nautilus,50.17%,-0.33%,0.75%,22.37%,36092
vayne,nautilus,50.17%,-0.18%,0.76%,34.83%,36488
vayne,blitzcrank,50.15%,-0.02%,0.67%,32.69%,32207
varus,lux,50.15%,-0.03%,0.52%,21.22%,24732
kai'sa,nautilus,50.13%,+0.53%,1.37%,25.08%,65863
caitlyn,nautilus,50.11%,-0.22%,0.99%,28.22%,47550
ezreal,lux,50.10%,+0.15%,2.90%,29.42%,139331
ashe,thresh,50.06%,-0.28%,1.01%,9.06%,48341
tristana,leona,50.02%,+0.07%,0.55%,9.27%,26358
draven,morgana,50.02%,-0.06%,0.58%,55.84%,27923
ezreal,xerath,50.01%,+0.67%,0.34%,12.04%,16444
jhin,karma,49.99%,+0.25%,0.64%,11.67%,30553
draven,nautilus,49.95%,-0.46%,0.48%,40.24%,22857
vayne,leona,49.93%,-0.08%,0.63%,24.93%,30159
lucian,lux,49.87%,+0.21%,0.91%,23.03%,43506
xayah,morgana,49.69%,-0.65%,0.41%,40.80%,19788
ezreal,fiddlesticks,49.65%,+0.60%,0.33%,11.80%,15824
jinx,alistar,49.61%,-0.50%,0.31%,5.87%,14921
vayne,karma,49.61%,+0.02%,0.67%,25.64%,32174
miss fortune,karma,49.53%,-0.61%,0.37%,10.93%,17762
jinx,yuumi,49.51%,-0.81%,0.81%,33.36%,38922
miss fortune,soraka,49.45%,-1.42%,0.31%,4.70%,14869
ezreal,brand,49.44%,-0.50%,0.75%,22.87%,36056
ezreal,nami,49.41%,-0.63%,0.86%,11.62%,41287
ezreal,soraka,49.39%,+0.26%,0.74%,11.92%,35348
ezreal,bard,49.27%,+0.32%,0.35%,10.97%,16711
kai'sa,soraka,49.17%,-0.38%,0.55%,8.83%,26195
ashe,braum,49.16%,-0.09%,0.33%,3.21%,16028
kai'sa,blitzcrank,49.14%,-0.28%,0.82%,23.06%,39126
jhin,blitzcrank,49.12%,-1.21%,0.62%,19.78%,29849
caitlyn,soraka,49.11%,-1.18%,0.57%,12.23%,27210
ezreal,sona,49.10%,-0.43%,0.83%,11.75%,39682
xayah,pyke,49.09%,-0.62%,0.32%,25.05%,15517
jhin,lulu,49.01%,-0.95%,0.32%,6.91%,15488
vayne,thresh,48.95%,-0.58%,1.37%,25.65%,65626
caitlyn,karma,48.88%,-0.69%,0.84%,18.19%,40475
jhin,pyke,48.86%,-0.66%,0.77%,27.27%,36915
draven,lulu,48.85%,-1.03%,0.30%,26.87%,14510
caitlyn,leona,48.84%,-1.16%,0.81%,17.36%,39008
kai'sa,sona,48.82%,-1.14%,0.57%,8.65%,27389
