# middle, jungle, winrate, synergy, pick, ban, matches
lux,vi,57.45%,+4.25%,0.32%,23.01%,15141
malzahar,master yi,56.62%,+3.48%,0.34%,37.03%,16113
diana,master yi,56.57%,+2.99%,0.34%,33.88%,16286
lux,jax,56.50%,+3.81%,0.35%,37.76%,16983
lux,master yi,56.36%,+3.53%,0.50%,45.68%,24138
ahri,master yi,55.94%,+3.51%,0.64%,35.52%,30673
veigar,master yi,55.91%,+3.62%,0.55%,33.44%,26519
ahri,vi,55.78%,+2.99%,0.41%,9.93%,19763
veigar,vi,55.51%,+2.86%,0.32%,7.35%,15254
zed,amumu,55.36%,+3.43%,0.54%,53.61%,26133
ahri,hecarim,55.08%,+2.98%,0.44%,17.24%,21209
veigar,jax,54.98%,+2.83%,0.38%,24.31%,18366
ahri,jarvan iv,54.97%,+2.50%,0.51%,10.86%,24321
lux,jarvan iv,54.97%,+2.10%,0.33%,23.82%,15883
malzahar,kayn,54.82%,+3.01%,0.44%,23.68%,20915
katarina,amumu,54.75%,+2.90%,0.35%,10.67%,16816
ahri,jax,54.70%,+2.41%,0.42%,26.57%,20377
fizz,master yi,54.57%,+2.52%,0.47%,38.81%,22432
fizz,jarvan iv,54.54%,+2.43%,0.33%,15.53%,15817
diana,kayn,54.41%,+2.17%,0.41%,19.88%,19702
lux,hecarim,54.39%,+1.89%,0.33%,29.42%,15781
fizz,jax,54.27%,+2.34%,0.32%,30.28%,15396
ahri,amumu,54.06%,+1.19%,0.35%,9.81%,16562
veigar,jarvan iv,53.99%,+1.65%,0.33%,8.34%,16020
veigar,hecarim,53.71%,+1.75%,0.32%,14.93%,15467
katarina,vi,53.70%,+1.94%,0.34%,10.79%,16451
ekko,master yi,53.59%,+2.03%,0.31%,31.72%,14777
yasuo,amumu,53.56%,+2.27%,0.58%,51.22%,28000
lux,kayn,53.56%,+2.06%,0.62%,33.74%,29651
katarina,jarvan iv,53.33%,+1.87%,0.44%,11.70%,21013
zed,rammus,53.19%,+2.23%,0.32%,59.47%,15569
zed,jax,53.17%,+1.82%,0.62%,62.53%,29590
zed,elise,53.00%,+2.35%,0.42%,54.58%,20119
ahri,xin zhao,52.99%,+1.79%,0.31%,9.32%,15070
diana,lee sin,52.91%,+1.87%,0.45%,19.33%,21477
zed,vi,52.82%,+0.98%,0.49%,53.68%,23573
ahri,warwick,52.77%,+0.98%,0.31%,9.20%,14794
yasuo,jarvan iv,52.56%,+1.65%,0.73%,51.74%,34811
yasuo,vi,52.53%,+1.31%,0.64%,51.26%,30724
katarina,jax,52.50%,+1.23%,0.42%,27.22%,20120
zed,udyr,52.43%,+1.28%,0.30%,53.93%,14603
veigar,kayn,52.42%,+1.44%,0.64%,19.73%,30669
ahri,kayn,52.37%,+1.26%,0.83%,21.96%,39686
zed,jarvan iv,52.33%,+0.80%,0.57%,54.24%,27350
katarina,hecarim,52.16%,+1.07%,0.39%,18.00%,18885
katarina,master yi,52.15%,+0.75%,0.63%,36.44%,30026
zed,evelynn,52.09%,+1.87%,0.48%,59.01%,23253
yasuo,rammus,52.02%,+1.68%,0.37%,57.20%,17900
zed,hecarim,51.92%,+0.76%,0.53%,57.81%,25665
zed,warwick,51.90%,+1.05%,0.45%,53.24%,21595
fizz,kayn,51.80%,+1.04%,0.56%,26.08%,26788
zed,master yi,51.77%,+0.29%,0.89%,67.50%,42847
neeko,kayn,51.75%,+1.21%,0.33%,18.40%,15785
ahri,kha'zix,51.58%,+1.17%,0.37%,10.46%,17779
talon,jarvan iv,51.55%,+0.51%,0.34%,9.90%,16090
malzahar,lee sin,51.44%,+0.82%,0.48%,23.18%,23262
yasuo,warwick,50.87%,+0.63%,0.52%,50.80%,25010
yasuo,elise,50.77%,+0.72%,0.40%,51.70%,19231
ahri,sejuani,50.65%,+0.01%,0.36%,12.20%,17063
ekko,kayn,50.62%,+0.35%,0.38%,17.36%,18191
talon,master yi,50.59%,-0.39%,0.45%,35.45%,21548
yasuo,master yi,50.47%,-0.39%,1.03%,66.21%,49232
yasuo,jax,50.41%,-0.32%,0.69%,61.22%,33250
yasuo,evelynn,50.34%,+0.73%,0.51%,56.20%,24412
vladimir,kayn,50.30%,+0.41%,0.38%,24.86%,18163
yasuo,hecarim,50.28%,-0.26%,0.62%,55.85%,29957
lux,lee sin,50.26%,-0.06%,0.64%,32.64%,30757
katarina,kayn,50.20%,+0.08%,0.76%,22.66%,36487
zed,sejuani,50.07%,+0.34%,0.45%,55.29%,21809
ahri,lee sin,49.98%,+0.04%,0.93%,21.42%,44775
yasuo,gragas,49.77%,+1.06%,0.52%,49.98%,24921
yasuo,udyr,49.69%,-0.85%,0.36%,51.50%,17049
zed,kayn,49.67%,-0.52%,1.04%,60.19%,50041
katarina,sejuani,49.67%,+0.01%,0.31%,13.08%,15080
orianna,kayn,49.52%,-0.32%,0.30%,16.08%,14469
veigar,lee sin,49.50%,-0.30%,0.63%,19.18%,30401
yasuo,sejuani,49.46%,+0.33%,0.55%,52.61%,26382
zed,xin zhao,49.07%,-1.20%,0.38%,53.48%,18175
fizz,lee sin,49.03%,-0.56%,0.63%,25.57%,30056
yasuo,xin zhao,48.61%,-1.05%,0.46%,50.81%,22251
yasuo,kayn,48.59%,-1.00%,1.26%,58.46%,60466
katarina,kha'zix,48.53%,-0.90%,0.37%,11.23%,17547
neeko,lee sin,48.51%,-0.87%,0.37%,17.61%,17697
katarina,lee sin,48.51%,-0.46%,0.83%,22.30%,39646
twisted fate,lee sin,48.50%,+0.12%,0.40%,15.19%,18979
xerath,lee sin,48.47%,-0.88%,0.35%,16.14%,16716
ryze,master yi,48.21%,-1.09%,0.33%,32.23%,15881
zed,kha'zix,48.16%,-1.33%,0.48%,53.88%,22829
orianna,lee sin,48.15%,-0.54%,0.39%,15.33%,18844
talon,kayn,48.00%,-1.71%,0.52%,21.39%,24757
vladimir,lee sin,47.90%,-0.84%,0.47%,24.20%,22754
ekko,lee sin,47.89%,-1.22%,0.40%,16.72%,18996
zed,lee sin,47.25%,-1.79%,1.15%,60.46%,54974
talon,lee sin,47.00%,-1.57%,0.66%,20.11%,31586
yasuo,lee sin,46.87%,-1.58%,1.45%,57.69%,69651
leblanc,kayn,46.81%,-1.46%,0.32%,24.86%,15449
ryze,kayn,46.41%,-1.66%,0.42%,17.66%,20379
zed,rengar,46.27%,-2.76%,0.32%,53.91%,15480
yasuo,kha'zix,46.20%,-2.70%,0.52%,51.52%,25115
zoe,lee sin,46.08%,-1.77%,0.31%,17.31%,14765
sylas,kayn,45.69%,-1.90%,0.34%,22.25%,16084
yasuo,rengar,45.06%,-3.38%,0.35%,51.55%,16801
leblanc,lee sin,44.90%,-2.26%,0.43%,23.05%,20453
akali,master yi,44.56%,-2.38%,0.32%,36.32%,15519
ryze,lee sin,44.04%,-2.93%,0.51%,16.84%,24709
sylas,lee sin,43.22%,-3.27%,0.39%,21.49%,18499
irelia,lee sin,42.44%,-3.88%,0.37%,22.49%,17531
akali,kayn,41.79%,-3.98%,0.39%,22.45%,18749
akali,lee sin,40.14%,-4.58%,0.43%,21.84%,20709
