# top, jungle, winrate, synergy, pick, ban, matches
garen,amumu,57.12%,+4.14%,0.38%,9.45%,18026
mordekaiser,vi,57.05%,+3.73%,0.45%,67.73%,21663
mordekaiser,master yi,56.56%,+3.62%,0.76%,78.80%,36368
mordekaiser,amumu,56.46%,+3.06%,0.39%,67.67%,18652
mordekaiser,jarvan iv,56.15%,+3.15%,0.54%,68.14%,26032
garen,vi,55.88%,+2.99%,0.40%,9.61%,19331
teemo,master yi,55.80%,+3.72%,0.52%,36.85%,25060
mordekaiser,jax,55.63%,+2.82%,0.52%,75.18%,25024
garen,master yi,55.57%,+3.05%,0.78%,35.04%,37312
mordekaiser,hecarim,55.57%,+2.95%,0.48%,70.69%,22870
garen,jax,55.34%,+2.95%,0.52%,26.17%,25136
illaoi,master yi,55.29%,+3.00%,0.39%,40.05%,18744
teemo,jarvan iv,55.10%,+2.96%,0.32%,13.34%,15474
mordekaiser,warwick,54.99%,+2.69%,0.37%,67.47%,17990
garen,jarvan iv,54.90%,+2.32%,0.40%,10.57%,19225
teemo,jax,54.85%,+2.89%,0.37%,28.51%,17620
tahm kench,master yi,54.84%,+2.66%,0.36%,44.47%,17416
nasus,jax,54.68%,+2.66%,0.41%,27.84%,19460
nasus,jarvan iv,54.56%,+2.36%,0.31%,12.77%,14706
nasus,vi,54.52%,+2.00%,0.31%,11.74%,15087
urgot,master yi,54.21%,+1.66%,0.34%,34.08%,16456
nasus,master yi,53.95%,+1.79%,0.58%,36.39%,27754
mordekaiser,xin zhao,53.94%,+2.24%,0.37%,67.47%,17640
teemo,hecarim,53.90%,+2.13%,0.30%,19.76%,14441
garen,hecarim,53.87%,+1.66%,0.40%,17.09%,19260
nasus,hecarim,53.47%,+1.64%,0.32%,18.94%,15442
mordekaiser,kha'zix,53.24%,+2.34%,0.43%,68.01%,20711
darius,amumu,53.19%,+1.69%,0.40%,43.15%,18967
jax,jarvan iv,53.07%,+1.92%,0.32%,23.76%,15411
garen,warwick,53.01%,+1.13%,0.38%,8.81%,18218
darius,vi,53.00%,+1.57%,0.43%,43.27%,20449
mordekaiser,kayn,52.96%,+1.34%,0.94%,72.71%,44947
teemo,kayn,52.78%,+2.00%,0.59%,24.21%,28135
urgot,kayn,52.69%,+1.44%,0.40%,20.44%,19345
tryndamere,master yi,52.58%,+0.65%,0.39%,33.41%,18818
renekton,jarvan iv,52.53%,+1.72%,0.39%,10.57%,18532
tahm kench,kayn,52.41%,+1.53%,0.46%,31.76%,22002
nasus,kayn,52.32%,+1.47%,0.64%,23.47%,30875
garen,kayn,52.28%,+1.06%,0.84%,21.70%,40512
darius,jarvan iv,52.14%,+1.03%,0.50%,43.87%,23970
riven,jarvan iv,52.04%,+1.16%,0.39%,7.88%,18609
darius,jax,52.01%,+1.07%,0.50%,54.33%,23787
mordekaiser,sejuani,51.95%,+0.81%,0.38%,68.65%,18015
darius,hecarim,51.76%,+1.01%,0.45%,48.34%,21803
