Name,Win rate,Pick rate,Ban rate,Role
aatrox,48.31%,7.0%,23.5%,top
aatrox,44.89%,1.3%,23.5%,jungle
aatrox,50.27%,1.7%,23.5%,middle
aatrox,40.05%,< 0.1%,23.5%,adc
aatrox,35.57%,< 0.1%,23.5%,support
ahri,51.12%,0.1%,7.1%,top
ahri,41.08%,< 0.1%,7.1%,jungle
ahri,52.43%,10.3%,7.1%,middle
ahri,47.9%,< 0.1%,7.1%,adc
ahri,48.76%,0.1%,7.1%,support
akali,43.94%,2.1%,7.6%,top
akali,28.94%,< 0.1%,7.6%,jungle
akali,42.04%,4.8%,7.6%,middle
akali,33.69%,< 0.1%,7.6%,adc
akali,31.9%,< 0.1%,7.6%,support
alistar,39.3%,< 0.1%,1.1%,top
alistar,37.24%,< 0.1%,1.1%,jungle
alistar,40.62%,< 0.1%,1.1%,middle
alistar,36.73%,< 0.1%,1.1%,adc
alistar,47.29%,3.6%,1.1%,support
amumu,46.15%,0.1%,2.4%,top
amumu,53.33%,7.0%,2.4%,jungle
amumu,42.95%,< 0.1%,2.4%,middle
amumu,37.95%,< 0.1%,2.4%,adc
amumu,46.78%,0.1%,2.4%,support
anivia,53.44%,0.1%,0.6%,top
anivia,28.83%,< 0.1%,0.6%,jungle
anivia,52.08%,2.0%,0.6%,middle
anivia,48.88%,< 0.1%,0.6%,adc
anivia,45.59%,0.2%,0.6%,support
annie,49.25%,0.1%,1.0%,top
annie,33.82%,< 0.1%,1.0%,jungle
annie,50.71%,2.3%,1.0%,middle
annie,47.06%,< 0.1%,1.0%,adc
annie,46.18%,0.4%,1.0%,support
ashe,46.37%,0.1%,1.3%,top
ashe,34.84%,< 0.1%,1.3%,jungle
ashe,46.58%,0.1%,1.3%,middle
ashe,51.65%,13.4%,1.3%,adc
ashe,43.25%,0.3%,1.3%,support
aurelion sol,44.51%,< 0.1%,0.3%,top
aurelion sol,36.09%,< 0.1%,0.3%,jungle
aurelion sol,49.37%,0.6%,0.3%,middle
aurelion sol,38.83%,< 0.1%,0.3%,adc
aurelion sol,34.16%,< 0.1%,0.3%,support
azir,45.37%,0.1%,0.5%,top
azir,32.23%,< 0.1%,0.5%,jungle
azir,47.12%,2.2%,0.5%,middle
azir,41.72%,< 0.1%,0.5%,adc
azir,38.69%,< 0.1%,0.5%,support
bard,43.67%,< 0.1%,0.3%,top
bard,35.32%,< 0.1%,0.3%,jungle
bard,41.35%,< 0.1%,0.3%,middle
bard,41.04%,< 0.1%,0.3%,adc
bard,50.25%,2.6%,0.3%,support
blitzcrank,38.85%,< 0.1%,15.7%,top
blitzcrank,36.45%,< 0.1%,15.7%,jungle
blitzcrank,37.57%,< 0.1%,15.7%,middle
blitzcrank,38.99%,< 0.1%,15.7%,adc
blitzcrank,50.37%,8.8%,15.7%,support
brand,49.22%,0.1%,12.4%,top
brand,47.21%,0.1%,12.4%,jungle
brand,50.45%,1.7%,12.4%,middle
brand,49.21%,0.1%,12.4%,adc
brand,52.3%,6.6%,12.4%,support
braum,38.26%,< 0.1%,1.8%,top
braum,32.49%,< 0.1%,1.8%,jungle
braum,39.36%,< 0.1%,1.8%,middle
braum,42.97%,< 0.1%,1.8%,adc
braum,46.97%,4.1%,1.8%,support
caitlyn,44.85%,0.1%,10.5%,top
caitlyn,25.33%,< 0.1%,10.5%,jungle
caitlyn,42.86%,0.2%,10.5%,middle
caitlyn,49.95%,19.8%,10.5%,adc
caitlyn,31.33%,< 0.1%,10.5%,support
camille,49.44%,2.6%,1.1%,top
camille,46.1%,0.6%,1.1%,jungle
camille,50.38%,0.4%,1.1%,middle
camille,49.6%,< 0.1%,1.1%,adc
camille,43.92%,< 0.1%,1.1%,support
cassiopeia,49.58%,0.1%,0.4%,top
cassiopeia,37.5%,< 0.1%,0.4%,jungle
cassiopeia,48.96%,1.4%,0.4%,middle
cassiopeia,51.36%,0.1%,0.4%,adc
cassiopeia,45.47%,< 0.1%,0.4%,support
cho'gath,49.11%,2.4%,1.0%,top
cho'gath,49.01%,0.4%,1.0%,jungle
cho'gath,51.12%,0.6%,1.0%,middle
cho'gath,45.21%,< 0.1%,1.0%,adc
cho'gath,44.41%,0.1%,1.0%,support
corki,50.17%,0.1%,0.3%,top
corki,40.23%,< 0.1%,0.3%,jungle
corki,50.59%,1.9%,0.3%,middle
corki,48.55%,0.2%,0.3%,adc
corki,35.06%,< 0.1%,0.3%,support
darius,49.74%,11.3%,39.6%,top
darius,40.12%,< 0.1%,39.6%,jungle
darius,50.06%,0.2%,39.6%,middle
darius,44.46%,< 0.1%,39.6%,adc
darius,39.19%,< 0.1%,39.6%,support
diana,51.34%,0.2%,4.8%,top
diana,50.94%,0.8%,4.8%,jungle
diana,54.77%,5.1%,4.8%,middle
diana,45.6%,< 0.1%,4.8%,adc
diana,43.02%,< 0.1%,4.8%,support
dr. mundo,50.57%,2.6%,1.2%,top
dr. mundo,49.33%,0.3%,1.2%,jungle
dr. mundo,48.09%,< 0.1%,1.2%,middle
dr. mundo,39.6%,< 0.1%,1.2%,adc
dr. mundo,41.74%,0.1%,1.2%,support
draven,48.97%,0.1%,23.5%,top
draven,32.23%,< 0.1%,23.5%,jungle
draven,49.22%,0.1%,23.5%,middle
draven,50.11%,8.5%,23.5%,adc
draven,35.38%,< 0.1%,23.5%,support
ekko,46.82%,0.4%,2.0%,top
ekko,51.26%,0.9%,2.0%,jungle
ekko,50.71%,4.6%,2.0%,middle
ekko,48.2%,< 0.1%,2.0%,adc
ekko,44.51%,< 0.1%,2.0%,support
elise,46.4%,< 0.1%,3.3%,top
elise,50.76%,4.8%,3.3%,jungle
elise,46.32%,< 0.1%,3.3%,middle
elise,41.76%,< 0.1%,3.3%,adc
elise,42.77%,< 0.1%,3.3%,support
evelynn,28.79%,< 0.1%,10.7%,top
evelynn,49.88%,5.7%,10.7%,jungle
evelynn,40.77%,< 0.1%,10.7%,middle
evelynn,28.07%,< 0.1%,10.7%,adc
evelynn,40.62%,< 0.1%,10.7%,support
ezreal,44.59%,0.3%,10.2%,top
ezreal,37.01%,0.1%,10.2%,jungle
ezreal,44.1%,1.6%,10.2%,middle
ezreal,47.68%,23.0%,10.2%,adc
ezreal,39.06%,0.2%,10.2%,support
fiddlesticks,43.34%,0.1%,1.2%,top
fiddlesticks,50.11%,1.1%,1.2%,jungle
fiddlesticks,49.53%,0.2%,1.2%,middle
fiddlesticks,43.03%,< 0.1%,1.2%,adc
fiddlesticks,50.45%,2.4%,1.2%,support
fiora,49.46%,5.6%,5.0%,top
fiora,42.6%,< 0.1%,5.0%,jungle
fiora,49.51%,0.2%,5.0%,middle
fiora,44.92%,< 0.1%,5.0%,adc
fiora,35.36%,< 0.1%,5.0%,support
fizz,48.59%,0.2%,11.7%,top
fizz,43.14%,0.1%,11.7%,jungle
fizz,51.7%,6.9%,11.7%,middle
fizz,45.83%,< 0.1%,11.7%,adc
fizz,44.6%,< 0.1%,11.7%,support
galio,42.94%,0.1%,0.3%,top
galio,35.32%,< 0.1%,0.3%,jungle
galio,45.91%,0.4%,0.3%,middle
galio,45.99%,< 0.1%,0.3%,adc
galio,43.79%,1.2%,0.3%,support
gangplank,48.48%,2.9%,0.7%,top
gangplank,27.65%,< 0.1%,0.7%,jungle
gangplank,48.42%,0.5%,0.7%,middle
gangplank,36.34%,< 0.1%,0.7%,adc
gangplank,33.64%,< 0.1%,0.7%,support
garen,52.63%,10.3%,6.8%,top
garen,43.9%,0.1%,6.8%,jungle
garen,52.99%,0.4%,6.8%,middle
garen,40.4%,< 0.1%,6.8%,adc
garen,38.21%,0.1%,6.8%,support
gnar,48.36%,3.3%,0.8%,top
gnar,35.35%,< 0.1%,0.8%,jungle
gnar,46.02%,< 0.1%,0.8%,middle
gnar,44.19%,< 0.1%,0.8%,adc
gnar,32.72%,< 0.1%,0.8%,support
gragas,48.43%,0.2%,0.4%,top
gragas,48.07%,3.6%,0.4%,jungle
gragas,51.21%,0.3%,0.4%,middle
gragas,42.93%,< 0.1%,0.4%,adc
gragas,48.04%,0.2%,0.4%,support
graves,48.3%,0.2%,0.4%,top
graves,49.28%,2.8%,0.4%,jungle
